D 2023-04-16 17:32:55,267| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:32:58,274| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55554/session/8e5a203986926cb01d884fec4ae7cf6e/back {}
D 2023-04-16 17:32:58,619| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55554 "POST /session/8e5a203986926cb01d884fec4ae7cf6e/back HTTP/1.1" 200 14
D 2023-04-16 17:32:58,620| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:33:01,620| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:55554/session/8e5a203986926cb01d884fec4ae7cf6e/forward {}
D 2023-04-16 17:33:01,734| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55554 "POST /session/8e5a203986926cb01d884fec4ae7cf6e/forward HTTP/1.1" 200 14
D 2023-04-16 17:33:01,734| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:33:03,740| DEBUG    | [remote_connection.py:remote_connection:_request:303] - DELETE http://localhost:55554/session/8e5a203986926cb01d884fec4ae7cf6e {}
D 2023-04-16 17:33:03,796| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:55554 "DELETE /session/8e5a203986926cb01d884fec4ae7cf6e HTTP/1.1" 200 14
D 2023-04-16 17:33:03,800| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:33,725| DEBUG    | [service.py:service:_start_process:204] - Started executable: `chromedriver` in a child process with pid: 20251
D 2023-04-16 17:54:34,241| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": []}}}}
D 2023-04-16 17:54:34,244| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): localhost:58276
D 2023-04-16 17:54:42,123| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session HTTP/1.1" 200 868
D 2023-04-16 17:54:42,124| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:42,124| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/url {"url": "https://sgzzlb.lingxigames.com/website/"}
D 2023-04-16 17:54:45,301| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/url HTTP/1.1" 200 14
D 2023-04-16 17:54:45,302| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:45,303| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "xpath", "value": "//a[contains(text(),'\u65b0\u95fb\u8d44\u8baf')]"}
D 2023-04-16 17:54:46,383| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 200 88
D 2023-04-16 17:54:46,384| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:46,384| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element/14f646f0-9f27-4ae2-8ac3-b0145b5ca830/click {"id": "14f646f0-9f27-4ae2-8ac3-b0145b5ca830"}
D 2023-04-16 17:54:49,354| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element/14f646f0-9f27-4ae2-8ac3-b0145b5ca830/click HTTP/1.1" 200 14
D 2023-04-16 17:54:49,355| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:52,362| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/back {}
D 2023-04-16 17:54:52,711| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/back HTTP/1.1" 200 14
D 2023-04-16 17:54:52,724| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:55,730| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/forward {}
D 2023-04-16 17:54:55,843| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/forward HTTP/1.1" 200 14
D 2023-04-16 17:54:55,844| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:57,851| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:54:57,871| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:54:57,872| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:58,378| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:54:58,389| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:54:58,389| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:58,895| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:54:58,907| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:54:58,907| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:59,413| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:54:59,426| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:54:59,427| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:54:59,933| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
