D 2023-04-29 13:14:46,690| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session HTTP/1.1" 200 869
D 2023-04-29 13:14:46,691| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:46,691| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/window/rect {"x": null, "y": null, "width": 1920, "height": 1080}
D 2023-04-29 13:14:46,798| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/window/rect HTTP/1.1" 200 53
D 2023-04-29 13:14:46,798| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-29 13:14:46,798| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/url {"url": "https://sgzzlb.lingxigames.com/website/"}
D 2023-04-29 13:14:50,232| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/url HTTP/1.1" 200 14
D 2023-04-29 13:14:50,233| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
I 2023-04-29 13:14:50,233| INFO     | [get_driver.py:get_driver:get_driver:42] - =================获取url:https://sgzzlb.lingxigames.com/website/成功=================
I 2023-04-29 13:14:50,234| INFO     | [del_image_file.py:del_image_file:del_image_file:31] - 初始化/Users/yangjingkang/PycharmProjects/web_driver/image/文件夹成功
D 2023-04-29 13:14:50,236| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:65379/session/c842fb37b70a3d7338ec57767a39a344/element {"using": "css selector", "value": ".keywords"}
D 2023-04-29 13:14:50,780| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:65379 "POST /session/c842fb37b70a3d7338ec57767a39a344/element HTTP/1.1" 200 88
D 2023-04-29 13:14:50,780| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
